#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	capture_loss
#types	time	string	addr	port	addr	port	enum	count	interval	string	count	string	count	string	count	string	bool	bool	bool	bool	count	vector[string]	vector[interval]	bool
1582646593.978298	CwFCMX3bAnu2EkwCP8	192.168.1.110	51848	192.168.1.254	53	udp	47856	0.016907	news.ycombinator.com	1	C_INTERNET	1	A	0	NOERROR	F	F	T	T	0	209.216.230.240	35	F
#path	conn
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1582646592.860963	Cwj1LL1ZNV32kV51	192.168.1.110	57635	17.125.252.5	443	tcp	-	0.593878	699	305	OTH	-	-	0	DadA	5	899	5	505	-
1582646591.275550	CeABm32sQZ0XK5R0Ei	192.168.1.110	54375	192.168.1.254	53	udp	dns	0.017946	46	62	SF	-	-	0	Dd	1	74	1	90	-
#path	dns
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	trans_id	rtt	query	qclass	qclass_name	qtype	qtype_name	rcode	rcode_name	AA	TC	RD	RA	Z	answers	TTLs	rejected
#types	time	string	addr	port	addr	port	enum	count	interval	string	count	string	count	string	count	string	bool	bool	bool	bool	count	vector[string]	vector[interval]	bool
1582646591.275550	CeABm32sQZ0XK5R0Ei	192.168.1.110	54375	192.168.1.254	53	udp	28084	0.017946	11.client-channel.google.com	1	C_INTERNET	1	A	0	NOERROR	F	F	T	T	0	173.194.201.189	213	F
#path	conn
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1582646590.938093	C3sZRZ2fbp2LEPQCV8	192.168.1.110	55351	18.205.93.211	443	tcp	-	0.088679	215	193	OTH	-	-	0	DadA	2	319	2	297	-
1582646590.264455	CEa7rg2Kml2ISkjRbi	192.168.1.110	57332	64.233.179.189	443	tcp	-	1.079187	363	382	OTH	-	-	0	^dADa	7	727	7	746	-
1582646589.440467	CUGuT43y1XPeVPq2xa	192.168.1.179	47783	192.168.1.255	15600	udp	-	-	-	-	S0	-	-	0	D	1	63	0	0	-
1582646588.807682	CAQrsO32Xhm46afAt1	192.168.1.110	55354	52.37.243.173	443	tcp	-	0.761817	114	56	OTH	-	-	0	DdAa	3	270	2	160	-
1582646588.472700	CS3tkdGVpmAS3FXQf	192.168.1.110	57487	192.30.253.125	443	tcp	-	0.077944	28	24	OTH	-	-	0	^dADa	2	132	2	128	-
1582646588.449312	CYmTs62B6PEW6sjEGb	192.168.1.110	57326	173.194.201.189	443	tcp	-	1.152367	403	380	OTH	-	-	0	^dADa	7	767	7	744	-
1582646588.334796	CKByYw0NdP9paYRBi	192.168.1.110	55346	52.37.243.173	443	tcp	-	1.230297	114	56	OTH	-	-	0	DdAa	3	270	2	160	-
1582646588.210507	CeTsLy2fPgUrUudmj	192.168.1.110	55344	52.37.243.173	443	tcp	-	0.034261	56	56	OTH	-	-	0	DadA	2	160	2	160	-
1582646587.715839	CGTfY214HtgOQpdW28	192.168.1.110	55747	13.52.5.22	443	tcp	-	0.017643	39	39	OTH	-	-	0	DdA	2	143	1	91	-
